country,activeDuty,paramilitary,reserves,total,pop2022
China,2185000,660000,1170000,4015000,1425887.337
India,1455550,2526950,1155000,5137500,1417173.173
United States,1388100,0,844950,2233050,338289.857
North Korea,1280000,5889000,600000,7769000,26069.416
Russia,1014000,554000,2000000,3568000,144713.314
Pakistan,654000,291000,550000,1495000,235824.862
Iran,610000,40000,350000,1000000,88550.57
South Korea,599000,3013500,3100000,6712500,51815.81
Vietnam,482000,5040000,5000000,10522000,98186.856
