country,activeDuty,paramilitary,reserves,total,pop2022
China,2185000,660000,1170000,4015000,1425887.337
India,1455550,2526950,1155000,5137500,1417173.173
United States,1388100,0,844950,2233050,338289.857
North Korea,1280000,5889000,600000,7769000,26069.416
Russia,1014000,554000,2000000,3568000,144713.314
Pakistan,654000,291000,550000,1495000,235824.862
Iran,610000,40000,350000,1000000,88550.57
South Korea,599000,3013500,3100000,6712500,51815.81
Vietnam,482000,5040000,5000000,10522000,98186.856
Egypt,438500,397000,479000,1314500,110990.103
Myanmar,406000,107000,0,513000,54179.306
Indonesia,395500,280000,400000,1075500,275501.339
Brazil,366500,395000,1340000,2101500,215313.498
Thailand,360850,138700,200000,699550,71697.03
Turkey,355200,156800,378700,890700,85341.241
Colombia,293200,187900,34950,516050,51874.024
Sri Lanka,255000,92600,5500,353100,21832.143
Japan,247150,14350,56000,317500,123951.692
Saudi Arabia,227000,24500,0,251500,36408.82
Mexico,216000,111900,81500,409400,127504.125
Ukraine,209000,102000,900000,1211000,39701.739
France,203250,130800,41050,375100,64626.628
Eritrea,201750,0,120000,321750,3684.032
Morocco,195800,50000,150000,395800,37457.971
Iraq,193000,148000,0,341000,44496.122
South Sudan,185000,0,0,185000,10913.164
Germany,183500,0,30050,213550,83369.843
Afghanistan,178800,99000,0,277800,41128.771
Israel,169500,8000,465000,642500,9038.309
Syria,169000,100000,0,269000,22125.249
Italy,165500,175750,18300,359550,59037.474
Bangladesh,163050,63900,0,226950,171186.372
Taiwan,163000,11800,1657000,1831800,23893.394
United Kingdom,148500,0,78600,227100,67508.936
Philippines,143100,62300,131000,336400,115559.009
Nigeria,143000,80000,0,223000,218541.212
Greece,142700,4000,221350,368050,10384.971
Ethiopia,138000,0,0,138000,123379.924
DR Congo,134250,0,0,134250,99010.212
Algeria,130000,187200,150000,467200,44903.225
Azerbaijan,126950,15000,330000,471950,10358.074
Cambodia,124300,67000,0,191300,16767.842
Venezuela,123000,220000,8000,351000,28301.696
Spain,120350,75800,15150,211300,47558.63
Poland,114050,75400,0,189450,39857.145
Malaysia,113000,267200,51600,431800,33938.221
Angola,107000,10000,0,117000,35588.987
Sudan,104300,105000,0,209300,46874.204
